Isolate,Condition,D0,D1,D2,D3,D4,D5
Anc,Control,,,,,,"31,40,43,38"
Anc,HS,,,,,,"21,23,26,20"
Anc,Control,,,,,,"36,33,42,31"
Anc,HS,,,,,,"25,24,29,25"
Anc,Control,,,,,,"33,35,42,36"
Anc,HS,,,,,,"29,32,25,30"
A1,Control,,,,,,"34,40,34,38"
A1,HS,,,,,,"19,18,31,30"
B1,Control,,,,,,"35,39,38,40"
B1,HS,,,,,,"31,51,36,41"
C1,Control,,,,,,"35,43,45,45"
C1,HS,,,,,,"35,34,28,43"
C2,Control,,,,,,"32,43,30,31"
C2,HS,,,,,,"33,28,36,43"
D1,Control,,,,,,"36,36,41,41"
D1,HS,,,,,,"27,27,41,30"
E1,Control,,,,,,"32,27,38,34"
E1,HS,,,,,,"23,15,14"
F1,Control,,,,,,"28,34,40,36"
F1,HS,,,,,,"13,22,23,22"
F2,Control,,,,,,"39,33,50,45"
F2,HS,,,,,,"30,36,30,24"
G1,Control,,,,,,"42,36,41,30"
G1,HS,,,,,,"19,22,23,21"
G2,Control,,,,,,"39,32,29,33"
G2,HS,,,,,,"18,25,25,27"
H1,Control,,,,,,"28,40,43,47"
H1,HS,,,,,,"35,23,26,39"
I1,Control,,,,,,"35,35,37"
I1,HS,,,,,,"25,30,23,23"
I2,Control,,,,,,"61,70,76,67"
I2,HS,,,,,,"39,40,49,38"
J1,Control,,,,,,"32,33,38,41"
J1,HS,,,,,,"36,48,37,27"
